location,size,total_sqft,bath,price,Place,bhk
"Kunj Vihar Apartment, Dwarka Sector 12",3 bhk,1500,2,174,Delhi,3
"Ashirwad Apartments, Dwarka Sector 12",3 bhk,1200,3,155,Delhi,3
"MTNL Employees House Welfare Society, Dwarka Sector 24",2 bhk,700,1,24,Delhi,2
"Sunny Valley Apartments, Dwarka",3 bhk,1700,2,172,Delhi,3
"Shri Agrasen Apartment, Dwarka Sector 7",3 bhk,1550,2,142,Delhi,3
"Chopra Apartment, Dwarka Sector 23",3 bhk,1400,3,135,Delhi,3
"Mohinder Apartments, Dwarka Sector 12",4 bhk,1900,4,300,Delhi,4
"Chander Lok Apartment, Dwarka Sector 19",4 bhk,2160,3,210,Delhi,4
"Neelachal, Dwarka Sector 5",4 bhk,1700,3,205,Delhi,4
Dwarka,3 bhk,1850,4,240,Delhi,3
"MeeraBai Apartment, Dwarka Sector 5",4 bhk,1800,2,165,Delhi,4
"Crescent Apartments, Dwarka Sector 18",3 bhk,1620,2,149,Delhi,3
"Ashoka Enclave Apartment, Dwarka Sector 11",4 bhk,1800,3,192,Delhi,4
"Nav Kairali Apartment, Dwarka Sector 3",3 bhk,1540,3,145,Delhi,3
"Ashirwad Apartments, Dwarka",3 bhk,1600,3,156,Delhi,3
"Indraprastha Apartment, Dwarka Sector 12",3 bhk,1400,2,114,Delhi,3
"Mohinder Apartments, Dwarka",4 bhk,2300,4,315,Delhi,4
"Ashoka Apartments, Dwarka Sector 12",3 bhk,1560,2,158,Delhi,3
"Karuna Vihar Apartment, Dwarka",3 bhk,1500,3,160,Delhi,3
"Nav Kairali Apartment, Dwarka Sector 3",3 bhk,1540,3,145,Delhi,3
"LNT Apartments, Dwarka",2 bhk,1050,2,105,Delhi,2
Dwarka Sector 4,3 bhk,1800,2,148,Delhi,3
"Dwarka Sector 3 carpet area 400 sqft status Ready to Move floor 1 out of 4 floors transaction New Property furnishing Semi-Furnished facing West overlooking Main Road bathroom 1 balcony 1 ownership Freehold Newly Constructed Property 1BHK freehold property , reserved parking, ample space for visitor parking, bathrooms with modern facilities, complete light in all room, wooden wardrobes in bedrooms, separate electric & water meter connection, separate water tank at roof, electronic door lock system with intercom facility, wall to wall POP work, fall ceiling work in all rooms, royal paint work in all rooms, 24X7 running water, branded electric fittings, modular kitchen with electronic chimney, marble vitrified tile flooring, near to metro station, well connected to main road ect. 80 to 90 home loan available. Ready to move read more Contact Agent View Phone No. Share Feedback Agent S.B. Associates 4000+ Buyers Served",1 bhk,400,1,18.5,Delhi,1
Dwarka Sector 16B,3 bhk,1150,2,68,Delhi,3
"Chopra Apartment, Dwarka Sector 23",3 bhk,1525,3,142,Delhi,3
Lajpat Nagar 3,1 bhk,900,1,89,Delhi,1
Lajpat Nagar 3,3 bhk,1450,3,375,Delhi,3
Lajpat Nagar 3,3 bhk,1450,3,300,Delhi,3
Lajpat Nagar 3,3 bhk,1260,3,210,Delhi,3
Lajpat Nagar 3,4 bhk,2925,4,575,Delhi,4
Lajpat Nagar 3,3 bhk,1710,3,300,Delhi,3
Lajpat Nagar 3,3 bhk,1600,3,300,Delhi,3
Lajpat Nagar 3,3 bhk,1500,3,315,Delhi,3
Lajpat Nagar 3,3 bhk,2200,3,300,Delhi,3
Lajpat Nagar 3,3 bhk,1350,3,415,Delhi,3
Lajpat Nagar 3,3 bhk,1710,3,248,Delhi,3
Lajpat Nagar 3,3 bhk,1350,3,350,Delhi,3
Lajpat Nagar 3,3 bhk,1500,3,400,Delhi,3
Lajpat Nagar 3,4 bhk,2880,5,460,Delhi,4
Lajpat Nagar 3,4 bhk,2700,4,550,Delhi,4
Lajpat Nagar 3,3 bhk,1400,3,245,Delhi,3
Lajpat Nagar 3,3 bhk,1800,3,245,Delhi,3
Lajpat Nagar 3,3 bhk,1400,3,325,Delhi,3
Lajpat Nagar 3,2 bhk,1000,2,200,Delhi,2
Lajpat Nagar,4 bhk,8000,5,2400,Delhi,4
Lajpat Nagar 3,2 bhk,1000,2,200,Delhi,2
Lajpat Nagar 3,3 bhk,1700,3,190,Delhi,3
Lajpat Nagar 3,3 bhk,1600,3,260,Delhi,3
