location,size,total_sqft,bath,price,Place,bhk
"Yamuna Vihar, Shahdara",2 bhk,1125,2,50,Delhi,2
"Yamuna Vihar, Shahdara",2 bhk,713,2,60,Delhi,2
"Yamuna Vihar, Shahdara",1 bhk,360,1,25,Delhi,1
"Yamuna Vihar, Shahdara",2 bhk,900,2,65,Delhi,2
"Yamuna Vihar, Shahdara",3 bhk,713,1,80,Delhi,3
"Yamuna Vihar, Shahdara",2 bhk,504,1,27,Delhi,2
"Yamuna Vihar, Shahdara",1 bhk,70,2,45,Delhi,1
"Yamuna Vihar, Shahdara",3 bhk,850,2,57,Delhi,3
"Yamuna Vihar, Shahdara",4 bhk,2430,3,250,Delhi,4
"Yamuna Vihar, Shahdara",3 bhk,2475,3,700,Delhi,3
"Yamuna Vihar, Shahdara",7 bhk,2970,4,265,Delhi,7
"Yamuna Vihar, Shahdara",3 bhk,2250,2,185,Delhi,3
"Yamuna Vihar, Shahdara",5 bhk,1500,3,300,Delhi,5
"Yamuna Vihar, Shahdara",2 bhk,1512,2,220,Delhi,2
"mind. The space is airy, is well located and can be easily customized as per the needs. Prime facilities are easily accessible from this place with Government Girls Senior Secondary School No 2 (0 km ). Other key neighbourhood are B Block Market (0 km ). read more Contact Owner View Phone No. Share Feedback Owner vinod kumar",2 bhk,400,2,90,Delhi,2
"Yamuna Vihar, Shahdara",3 bhk,2160,3,650,Delhi,3
"Yamuna Vihar, Shahdara",3 bhk,630,2,225,Delhi,3
"Yamuna Vihar, Shahdara",6 bhk,324,3,87,Delhi,6
"Yamuna Vihar, Shahdara",6 bhk,720,5,220,Delhi,6
"Yamuna Vihar, Shahdara",4 bhk,675,2,185,Delhi,4
"Yamuna Vihar, Shahdara",2 bhk,700,1,160,Delhi,2
"Yamuna Vihar, Shahdara",4 bhk,675,3,160,Delhi,4
"Yamuna Vihar, Shahdara",4 bhk,720,2,90,Delhi,4
"Jyoti Colony, Shahdara",2 bhk,850,2,45,Delhi,2
Laxmi Nagar,3 bhk,801,2,60,Delhi,3
Laxmi Nagar,1 bhk,450,2,27,Delhi,1
Laxmi Nagar,3 bhk,1000,2,65,Delhi,3
Laxmi Nagar,3 bhk,990,2,40,Delhi,3
Laxmi Nagar,2 bhk,420,1,26,Delhi,2
Laxmi Nagar,2 bhk,450,1,35,Delhi,2
Laxmi Nagar,2 bhk,1000,2,75,Delhi,2
Laxmi Nagar,3 bhk,900,2,70,Delhi,3
Laxmi Nagar,3 bhk,800,2,45,Delhi,3
Laxmi Nagar,3 bhk,720,3,55,Delhi,3
Laxmi Nagar,2 bhk,450,1,27,Delhi,2
Laxmi Nagar,2 bhk,675,2,24,Delhi,2
Laxmi Nagar,4 bhk,1700,3,115,Delhi,4
"Guru Angad Nagar West, Laxmi Nagar",2 bhk,550,2,36,Delhi,2
"Guru Angad Nagar West, Laxmi Nagar",1 bhk,387,2,17,Delhi,1
"Lalita Park, Laxmi Nagar",2 bhk,450,1,25,Delhi,2
Laxmi Nagar,4 bhk,900,2,66,Delhi,4
Laxmi Nagar,2 bhk,500,1,37,Delhi,2
"Krishan Kunj, Laxmi Nagar",2 bhk,441,1,35,Delhi,2
"Lalita Park, Laxmi Nagar",3 bhk,800,2,54,Delhi,3
"Laxmi Nagar super area 450 sqft status Ready to Move floor 3 out of 4 floors transaction New Property furnishing Semi-Furnished facing East overlooking Main Road bathroom 2 balcony 1 ownership Freehold Newly Constructed Property East Facing Property This Builder Floor Apartment at 3rd faces East & overlooks Main Road offering a beautiful view from the house. with airy interiors. The type of ownership is Freehold. The Builder Floor Apartment is newly constructed. Bank loans available from LIC Housing Finance, Kotak Mahindra Bank, Indiabulls. Flooring of type Marble covers maximum part of the house. The location has easy access to, Dena Bank (0 km ), Delhi Convent School (0 km ), DDA Market (0 km ) and Nirman Vihar Metro Station (2 km ). read more Contact Owner View Phone No. Share Feedback Owner Sonia",2 bhk,450,2,25.5,Delhi,2
"Laxmi Nagar carpet area 1000 sqft status Ready to Move floor 1 out of 4 floors transaction Resale furnishing Furnished bathroom 3 balcony 1 It's a 1st floor Builder Floor Apartment in a building of total 4 floors. The age of construction for this Builder Floor Apartment is between 10 to 15 years. The location has easy access to, Dena Bank (0 km ), Delhi Convent School (0 km ), DDA Market (0 km ) and Nirman Vihar Metro Station (2 km ). read more Contact Owner View Phone No. Share Feedback Owner Vipul Jain",3 bhk,1000,3,125,Delhi,3
Laxmi Nagar,2 bhk,715,2,56,Delhi,2
Laxmi Nagar,2 bhk,600,2,70,Delhi,2
Laxmi Nagar,2 bhk,540,1,35,Delhi,2
"Bank Enclave, Laxmi Nagar",4 bhk,312,4,350,Delhi,4
Laxmi Nagar,3 bhk,810,2,90,Delhi,3
"Guru Angad Nagar West, Laxmi Nagar",1 bhk,270,1,23,Delhi,1
Laxmi Nagar,3 bhk,900,2,60,Delhi,3
Laxmi Nagar,3 bhk,1000,2,60,Delhi,3
Uttam Nagar,2 bhk,540,2,26.5,Delhi,2
"Uttam Nagar Floors, Uttam Nagar",3 bhk,950,2,43.7,Delhi,3
"Virat Residency, Dwarka Mor",3 bhk,1000,2,46.2,Delhi,3
"Adarsh Homes, Dwarka Mor",2 bhk,540,2,30,Delhi,2
"Kushwaha Homes, Uttam Nagar",2 bhk,540,2,33,Delhi,2
"Partap Homes, Bhagwati Vihar, Uttam Nagar",3 bhk,1000,2,55.1,Delhi,3
Dwarka Mor,2 bhk,500,2,32,Delhi,2
Uttam Nagar West,2 bhk,540,2,26,Delhi,2
Uttam Nagar,3 bhk,780,2,40,Delhi,3
Uttam Nagar West,2 bhk,450,1,18.5,Delhi,2
Uttam Nagar,1 bhk,360,1,17,Delhi,1
"SB Residency, Dwarka Mor",3 bhk,900,2,28,Delhi,3
Uttam Nagar West,2 bhk,495,2,21.5,Delhi,2
"SB Residency, Dwarka Mor",4 bhk,1200,3,68,Delhi,4
Uttam Nagar,3 bhk,1000,2,62,Delhi,3
Uttam Nagar,2 bhk,620,2,31,Delhi,2
Dwarka Mor,3 bhk,680,2,34,Delhi,3
"Kiran Garden, Uttam Nagar",2 bhk,805,2,40,Delhi,2
"Mohan Garden, Razapur Khurd",2 bhk,729,2,48,Delhi,2
Uttam Nagar,2 bhk,540,2,25,Delhi,2
Uttam Nagar,1 bhk,360,1,20,Delhi,1
Uttam Nagar West,2 bhk,550,2,19,Delhi,2
"Mitya Homes, Dwarka Mor",3 bhk,1001,2,58,Delhi,3
Dwarka Mor,2 bhk,450,2,29,Delhi,2
Uttam Nagar West,2 bhk,550,1,20,Delhi,2
"Uttam Nagar carpet area 550 sqft status Ready to Move transaction New Property furnishing Semi-Furnished facing East overlooking Main Road bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property East Facing Property 2bhk fully furnished flats available for sale at uttam nagar, the flat is fully loaded, one singal wall texture in all bedrooms, modular kitchen, LED pannel in drawing room, wardrobes in bedroom read more Contact Agent View Phone No. Share Feedback Pranita Developers Pvt. Ltd. Certified Agent Trusted by Users Genuine Listings 100+ Buyers Served",2 bhk,550,2,26,Delhi,2
Uttam Nagar,2 bhk,675,1,29,Delhi,2
Uttam Nagar,2 bhk,585,2,32,Delhi,2
"New Uttam Nagar, Uttam Nagar",3 bhk,810,2,54,Delhi,3
Dwarka Mor,3 bhk,765,2,38,Delhi,3
"The Leela Sky Villas, Patel Nagar",5 bhk,4688,4,1350,Delhi,5
"The Leela Sky Villas, Patel Nagar",4 bhk,3901,4,930,Delhi,4
"Patel Nagar South, Patel Nagar",2 bhk,70,3,82,Delhi,2
Patel Nagar West,3 bhk,800,2,80,Delhi,3
Patel Nagar West,3 bhk,900,2,95,Delhi,3
Patel Nagar West,4 bhk,1680,5,200,Delhi,4
Patel Nagar West,2 bhk,900,2,74,Delhi,2
"Patel Nagar East, Patel Nagar",3 bhk,2000,3,375,Delhi,3
Patel Nagar West,4 bhk,2000,4,150,Delhi,4
"The Leela Sky Villas, Patel Nagar",3 bhk,1900,3,553,Delhi,3
"Patel Nagar East, Patel Nagar",3 bhk,1530,3,265,Delhi,3
"Patel Nagar East, Patel Nagar",3 bhk,100,2,160,Delhi,3
Patel Nagar West,3 bhk,900,2,104,Delhi,3
Patel Nagar West,1 bhk,270,1,17,Delhi,1
Patel Nagar West,2 bhk,950,2,80,Delhi,2
"Patel Nagar East, Patel Nagar",3 bhk,1800,3,270,Delhi,3
Patel Nagar West,3 bhk,1500,3,195,Delhi,3
"Patel Nagar East, Patel Nagar",3 bhk,1800,3,500,Delhi,3
Patel Nagar West,3 bhk,1800,3,211,Delhi,3
"The Leela Sky Villas, Patel Nagar",3 bhk,2306,3,570,Delhi,3
Patel Nagar West,2 bhk,850,3,59,Delhi,2
"Punjabi Basti, Patel Nagar",3 bhk,140,2,120,Delhi,3
Patel Nagar West,3 bhk,900,2,120,Delhi,3
Patel Nagar West,3 bhk,1800,3,240,Delhi,3
"Patel Nagar East, Patel Nagar",1 bhk,200,1,70,Delhi,1
"Patel Nagar East, Patel Nagar",3 bhk,1782,3,150,Delhi,3
"Baljit Nagar, Patel Nagar",2 bhk,900,2,15,Delhi,2
Patel Nagar West,2 bhk,405,1,39.5,Delhi,2
Patel Nagar West,3 bhk,1500,3,125,Delhi,3
"Baljit Nagar, Patel Nagar",3 bhk,66,1,16,Delhi,3
"DDA Flats Vasant Kunj, Vasant Kunj Sector B",4 bhk,2000,4,365,Delhi,4
"DDA Flats Vasant Kunj, Vasant Kunj carpet area 1200 sqft status Ready to Move floor 5 out of 7 floors transaction Resale furnishing Semi-Furnished facing North - West overlooking Garden/Park, Main Road society DDA Flats Vasant Kunj car parking 1 Covered, 1 Open bathroom 2 balcony 2 ownership Freehold A southEAST facing 3 bhk resale flat is available in the promising locality of sectorE vasant kunj vasant kunj, delhi south. It is a ready to move in spacious flat and is located on the 5th floor. Every single detail of the flat is carefully designed. This property offers quality specifications such as lifts, park, water storage and securityfire alar. It is a gated society flat. It provides a spectacular view of the main road and parkgarden. The apartment is priced at rs. 2 cr. It is a freehold property, with a super builtUp area of 1600 sq. Ft. The property price is negotiable. read more Contact Agent Enquire Now Share Feedback Crisil Silver Agent Link Properties Pvt. Ltd. 5000+ Buyers Served",3 bhk,1200,2,200,Delhi,3
Vasant Kunj,2 bhk,1100,2,150,Delhi,2
Vasant Kunj,3 bhk,1400,2,250,Delhi,3
"DDA Flats Vasant Kunj, Vasant Kunj",3 bhk,1600,2,185,Delhi,3
"DDA Flats Pocket 1, Vasant Kunj Sector B",4 bhk,1600,3,235,Delhi,4
Vasant Kunj,1 bhk,600,1,80,Delhi,1
"Saraswati Narmada Ganga Yamuna Apartment, Vasant Kunj Sector D",3 bhk,1600,2,230,Delhi,3
"DDA Flats Vasant Kunj, Vasant Kunj",3 bhk,2000,3,310,Delhi,3
"DDA Flats Sector E Pocket 1, Vasant Kunj",1 bhk,650,2,74,Delhi,1
Vasant Kunj,2 bhk,1100,2,155,Delhi,2
"DDA Flats Sector E Pocket 1, Vasant Kunj",2 bhk,1075,2,120,Delhi,2
"DDA Flats Vasant Kunj, Vasant Kunj Sector D",3 bhk,1450,2,235,Delhi,3
Vasant Kunj Sector A,3 bhk,1200,2,250,Delhi,3
"E2 Vasant Kunj, Vasant Kunj",1 bhk,600,2,70,Delhi,1
"DDA Flats Vasant Kunj, Vasant Kunj",2 bhk,1000,2,175,Delhi,2
"Ganga Apartment Sector D Pocket 6, Vasant Kunj",3 bhk,1600,2,250,Delhi,3
Vasant Kunj Sector C,4 bhk,1750,4,290,Delhi,4
"DDA Flats Sector E Pocket 1, Vasant Kunj",3 bhk,1300,3,219,Delhi,3
Vasant Kunj Sector D,1 bhk,550,2,75,Delhi,1
"DDA Flats Vasant Kunj, Vasant Kunj Sector C",4 bhk,2200,3,235,Delhi,4
Vasant Kunj Sector C,2 bhk,1100,2,240,Delhi,2
Vasant Kunj,3 bhk,1700,2,310,Delhi,3
Vasant Kunj,2 bhk,1100,2,165,Delhi,2
"Kishangarh, Vasant Kunj",2 bhk,1000,2,50,Delhi,2
"DDA Pocket 1, Vasant Kunj Sector D",3 bhk,1350,2,240,Delhi,3
"Ganga Apartment Sector D Pocket 6, Vasant Kunj",2 bhk,1184,2,170,Delhi,2
Vasant Kunj Sector B,4 bhk,2000,2,400,Delhi,4
Vasant Kunj,4 bhk,3500,4,225,Delhi,4
Vasant Kunj,3 bhk,900,3,200,Delhi,3
"The Leela Sky Villas, Patel Nagar",5 bhk,4688,4,1350,Delhi,5
"J R Designers Floors, Rohini Sector 24",2 bhk,750,2,50,Delhi,2
"The Leela Sky Villas, Patel Nagar",4 bhk,3901,4,930,Delhi,4
"Uttam Nagar Floors, Uttam Nagar",3 bhk,950,2,43.7,Delhi,3
"Virat Residency, Dwarka Mor",3 bhk,1000,2,46.2,Delhi,3
"Siddhartha Heights, Dwarka Sector 24",2 bhk,850,1,19,Delhi,2
"Find Homes, Greater Kailash 2",4 bhk,2400,4,700,Delhi,4
"MTNL Employees House Welfare Society, Dwarka Sector 24",3 bhk,1350,2,51.3,Delhi,3
"Adarsh Homes, Dwarka Mor",2 bhk,540,2,30,Delhi,2
"Delhi Homes Yojana, Dwarka Sector 24",4 bhk,1387,4,58.9,Delhi,4
"Kushwaha Homes, Uttam Nagar",2 bhk,540,2,33,Delhi,2
"Godrej South Estate, Okhla",2 bhk,976,2,249,Delhi,2
"The Elite Spire, Dwarka Sector 21",3 bhk,1050,2,37,Delhi,3
"APL Builder Floor, Greater Kailash 1",4 bhk,2700,3,600,Delhi,4
"Kunj Vihar Apartment, Dwarka Sector 12",3 bhk,1500,2,174,Delhi,3
Janakpuri Block A3,5 bhk,2900,5,510,Delhi,5
Greater Kailash 2,5 bhk,5025,6,1700,Delhi,5
"Partap Homes, Bhagwati Vihar, Uttam Nagar",3 bhk,1000,2,55.1,Delhi,3
"The Amaryllis, Karol Bagh",3 bhk,1135,3,250,Delhi,3
"The Leela Sky Villas, Patel Nagar",3 bhk,2306,3,570,Delhi,3
"Diamond Heights Multi Estate, Najafgarh",2 bhk,850,2,29.4,Delhi,2
"Ashirwad Apartments, Dwarka Sector 12",3 bhk,1200,3,155,Delhi,3
"Sunny Valley Apartments, Dwarka",3 bhk,1700,2,172,Delhi,3
"Vasant Vihar Builder Floor, Vasant Vihar",4 bhk,1800,3,550,Delhi,4
Vasant Kunj,2 bhk,1100,2,150,Delhi,2
Greater Kailash 1,4 bhk,22050,4,510,Delhi,4
Rohini Sector 24,4 bhk,1550,3,130,Delhi,4
Greater Kailash 1,3 bhk,1600,3,300,Delhi,3
"Khanpur, Madangir",2 bhk,700,2,24,Delhi,2
"Batla House, Okhla",4 bhk,45,3,55,Delhi,4
"Gandhi Nagar, Shahdara",2 bhk,450,2,29,Delhi,2
"Gandhi Nagar, Shahdara",5 bhk,540,2,170,Delhi,5
"Gandhi Nagar, Shahdara",3 bhk,1350,3,250,Delhi,3
"Gandhi Nagar, Shahdara",3 bhk,2250,2,100,Delhi,3
"DDA Flats Mansarovar Park, Seelampur, Shahdara",2 bhk,1250,1,75,Delhi,2
"Seelampur, Shahdara",3 bhk,504,1,36,Delhi,3
"Shanti Mohalla, Shahdara",3 bhk,65,2,350,Delhi,3
"Seelampur, Shahdara",2 bhk,450,1,60,Delhi,2
"Rajgarh Colony, Shahdara",4 bhk,1800,2,175,Delhi,4
"Kanti Nagar East, Shahdara",4 bhk,1800,3,350,Delhi,4
"Raghubarpura, Shahdara",5 bhk,1530,2,102,Delhi,5
Vasant Kunj Sector C,4 bhk,1750,4,290,Delhi,4
"Sukhdev Vihar, Okhla",4 bhk,2210,3,410,Delhi,4
Geeta Colony,3 bhk,760,2,60,Delhi,3
Krishna Nagar Block A,2 bhk,400,1,25,Delhi,2
Geeta Colony,1 bhk,380,1,22,Delhi,1
"Taj Enclave, Khairatabad",2 bhk,904.1676,2,215,Delhi,2
"Shastri Park, Shahdara",4 bhk,900,1,150,Delhi,4
Geeta Colony,5 bhk,810,6,289,Delhi,5
Geeta Colony,3 bhk,100,2,55,Delhi,3
"Shastri Park, Shahdara",2 bhk,50,1,19.5,Delhi,2
Geeta Colony,2 bhk,58,1,38,Delhi,2
"Sitaram Bazar, Chandni Chowk",2 bhk,900,1,62,Delhi,2
Shahdara,4 bhk,1650,3,140,Delhi,4
Laxmi Nagar,2 bhk,1000,2,75,Delhi,2
Shahdara How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. super area 852 sqft status Ready to Move transaction Resale ownership Freehold bathroom 2 Contact Now Enquire Now Auction By,2 bhk,852,2,26.7,Delhi,2
Shahdara,2 bhk,700,2,25,Delhi,2
Laxmi Nagar,3 bhk,990,2,40,Delhi,3
Laxmi Nagar,2 bhk,450,1,35,Delhi,2
Laxmi Nagar,2 bhk,1000,2,50,Delhi,2
Saket,4 bhk,1700,3,295,Delhi,4
"Anupam Enclave, Saket",3 bhk,1350,2,190,Delhi,3
Saket,4 bhk,2100,3,255,Delhi,4
Saket,4 bhk,2600,4,750,Delhi,4
Saket,4 bhk,3000,5,750,Delhi,4
"RWA Flats, Saket",3 bhk,1450,3,340,Delhi,3
Saket,4 bhk,2050,4,475,Delhi,4
"Metrotech Builder Floors, Saket",4 bhk,3000,5,750,Delhi,4
"Saket Court Residential Complex, Saket",3 bhk,1800,3,230,Delhi,3
"Press Enclave Society, Saket",3 bhk,900,2,240,Delhi,3
"RWA Flats, Saket",3 bhk,1500,2,215,Delhi,3
Saket,3 bhk,1500,2,285,Delhi,3
"Project Paryavaran Complex, Saket",4 bhk,1800,4,125,Delhi,4
Saket,3 bhk,1674,3,450,Delhi,3
Saket,4 bhk,2025,3,305,Delhi,4
Saket,3 bhk,1300,3,225,Delhi,3
"Press Enclave Society, Saket",3 bhk,990,3,280,Delhi,3
Saket,3 bhk,2100,4,250,Delhi,3
Saket,4 bhk,2250,4,337,Delhi,4
Saket,3 bhk,1500,3,270,Delhi,3
Saket,4 bhk,2700,4,435,Delhi,4
"RWA Flats, Saket",3 bhk,1700,3,290,Delhi,3
Saket,3 bhk,1700,3,300,Delhi,3
Saket,4 bhk,2050,4,521,Delhi,4
Saket,3 bhk,1800,3,325,Delhi,3
Saket,3 bhk,1500,2,205,Delhi,3
Saket,4 bhk,2000,3,250,Delhi,4
Saket,3 bhk,1500,3,300,Delhi,3
Saket,4 bhk,24300,5,510,Delhi,4
Saket,4 bhk,2475,4,310,Delhi,4
Safdarjung Enclave,3 bhk,1800,3,375,Delhi,3
"Arjun Nagar, Safdarjung Enclave",3 bhk,1300,3,325,Delhi,3
Safdarjung Enclave,3 bhk,1500,3,375,Delhi,3
Safdarjung Enclave,4 bhk,2100,4,550,Delhi,4
Safdarjung Enclave,4 bhk,1800,4,875,Delhi,4
Safdarjung Enclave,2 bhk,1100,2,163,Delhi,2
Safdarjung Enclave,4 bhk,2035,4,650,Delhi,4
"Safdarjung Enclave carpet area 1100 sqft status Ready to Move floor Ground out of 4 floors transaction Resale furnishing Unfurnished facing North - East overlooking Garden/Park, Main Road car parking 1 Covered, 1 Open bathroom 3 balcony 3 ownership Freehold if you are searching for your dream house, congratulation. you're not so far from your destiny. we got unbeatable ground floor in b-block safdarjung enclave for sale. it is in 150 yds. It has 3 large king sized bedroom attached bathroom with Jacuzzi and roof top shower with all other fittings. it has modular kitchen with all needed facility. it has 3 big balcony with amazing out side view. it has 1 servant quarter also. it has 1 reserved car parking with gated society. It has 24*7 water supply with full power backup. for more information contact us at once because it can be your dream house. read more Contact Agent View Phone No. Share Feedback Crisil Silver Agent Sagar Home Developers Pvt. Ltd. 1000+ Buyers Served",3 bhk,1100,3,250,Delhi,3
Safdarjung Enclave,3 bhk,1550,3,380,Delhi,3
Safdarjung Enclave,2 bhk,700,2,150,Delhi,2
"Arjun Nagar, Safdarjung Enclave",2 bhk,150,1,20,Delhi,2
"Arjun Nagar, Safdarjung Enclave",1 bhk,540,1,30,Delhi,1
Krishna Nagar-Safdarjung Enclave,2 bhk,810,2,85,Delhi,2
"Safdarjung Enclave carpet area 3250 sqft status Ready to Move floor 1 out of 4 floors transaction Resale furnishing Semi-Furnished facing North - East overlooking Garden/Park, Main Road car parking 1 Covered bathroom 4 balcony 3 ownership Freehold Near Buy Green park Metro station. The location of the property is Awesome and Peaceful. The construction is very Highend and Very tasteful Done-up. The Same property is location on the FF. 4 Side corner read more Contact Agent Enquire Now Share Feedback Crisil Silver Agent Findahouse Real Estate Consultants LLP 2000+ Buyers Served",4 bhk,3250,4,550,Delhi,4
Safdarjung Enclave,3 bhk,1600,3,225,Delhi,3
Safdarjung Enclave,4 bhk,4000,4,725,Delhi,4
Safdarjung Enclave,6 bhk,5500,7,1600,Delhi,6
Krishna Nagar-Safdarjung Enclave,3 bhk,900,3,125,Delhi,3
Safdarjung Enclave,2 bhk,972,2,170,Delhi,2
Safdarjung Enclave,4 bhk,4150,4,825,Delhi,4
Safdarjung Enclave,4 bhk,2250,5,550,Delhi,4
Safdarjung Enclave,3 bhk,1650,3,350,Delhi,3
Safdarjung Enclave carpet area 290 sqyrd status Ready to Move floor 2 out of 3 floors transaction Resale furnishing Semi-Furnished facing West overlooking Main Road car parking 2 Open bathroom 4 balcony 3 ownership Freehold Opposite Deer Park.The property comes with independent Terrace. The area is centrally located and close to ring road which allows easy acess to all other areas.Renowned Delhi Lawn Tennis Association is within 10 minutes walking distance.Green park market is walkable distance. read more Contact Owner View Phone No. Share Feedback Owner Hemant pajankar,4 bhk,2610,4,425,Delhi,4
"Arjun Nagar, Safdarjung Enclave",2 bhk,600,2,47,Delhi,2
Safdarjung Enclave,4 bhk,1700,5,525,Delhi,4
Safdarjung Enclave,4 bhk,2250,4,800,Delhi,4
"Arjun Nagar, Safdarjung Enclave",3 bhk,880,2,110,Delhi,3
Safdarjung Enclave,4 bhk,4200,5,740,Delhi,4
"Safdarjung Enclave carpet area 1450 sqft status Ready to Move floor 3 out of 4 floors transaction Resale furnishing Semi-Furnished facing North - East overlooking Garden/Park, Main Road car parking 1 Covered, 1 Open bathroom 3 balcony 2 ownership Freehold Park facing builder floor apartment available for sale in safderjung enclave, 3 bedroom with attached bathroom, drawing dinning, modular kitchen. the property is on the top floor of a four storey building with terrace right, servant quarter, 1 car parking in stilt. read more Contact Agent View Phone No. Share Feedback Agent Delhi Homes Realty 1000+ Buyers Served",3 bhk,1450,3,375,Delhi,3
"Safdarjung Enclave super area 2200 sqft status Ready to Move floor 2 out of 4 floors transaction New Property furnishing Semi-Furnished facing South overlooking Main Road car parking 3 Covered, 2 Open bathroom 4 balcony 3 ownership Freehold Newly Constructed Property Wide Road 450 Yards 2nd floor brand new 4 bhk attached bathrooms with full lighted and ventilated house.Most Valuable DealSEE TO BELIEVE read more Contact Agent View Phone No. Share Feedback Crisil Bronze Agent Panchsheel Homes 500+ Buyers Served",4 bhk,2200,4,525,Delhi,4
"Reserve Bank Enclave, Paschim Vihar",3 bhk,1620,3,260,Delhi,3
Paschim Vihar,3 bhk,1078,2,155,Delhi,3
"Pushkar Enclave, Paschim Vihar",3 bhk,1710,3,220,Delhi,3
Paschim Vihar Block B2,3 bhk,1150,3,210,Delhi,3
"Paschimpuri, Paschim Vihar",2 bhk,450,2,50,Delhi,2
Paschim Vihar,3 bhk,1818,3,220,Delhi,3
Paschim Vihar Block B4,3 bhk,1800,2,265,Delhi,3
Paschim Vihar How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. carpet area 780 sqft status Ready to Move floor Ground out of 3 floors transaction Resale furnishing Unfurnished facing West bathroom 2 balcony 1 ownership Freehold Contact Now Enquire Now Auction By Bank,2 bhk,780,2,87.7,Delhi,2
"DDA Lig Flats, Paschim Vihar carpet area 45 sqyrd status Ready to Move floor 4 out of 4 floors transaction Resale furnishing Semi-Furnished facing East overlooking Garden/Park, Main Road society DDA Lig Flats bathroom 1 balcony 1 ownership Freehold East Facing Property Expected price for the Flat is kept at 45 Lac. This is a 1 bedroom apartment present in DDA Lig Flats, Paschim Vihar. It measures an area of 45 Sq-m. It is on 4 floor out of 4 floors in the tower and is also well ventilated. The Flat has 1 washroom and also has 1 spacious balcony. read more Contact Owner View Phone No. Share Feedback Owner Anil",1 bhk,405,1,45,Delhi,1
Paschim Vihar,2 bhk,900,3,85,Delhi,2
"Archana Apartment, Paschim Vihar",2 bhk,807.2925,2,86,Delhi,2
"Guru Harikishan Nagar, Paschim Vihar",4 bhk,2700,3,425,Delhi,4
Paschim Vihar,3 bhk,1100,2,131,Delhi,3
"Paschimpuri, Paschim Vihar",2 bhk,585,2,70,Delhi,2
"Mianwali Nagar, Paschim Vihar",3 bhk,2152.78,3,300,Delhi,3
"Navbharat Apartment, Paschim Vihar Block B1",2 bhk,960,2,130,Delhi,2
Paschim Vihar Block A2,4 bhk,1800,3,231,Delhi,4
Paschim Vihar,3 bhk,1100,2,160,Delhi,3
Paschim Vihar,2 bhk,900,2,125,Delhi,2
"LIC Colony, Paschim Vihar",3 bhk,1620,3,245,Delhi,3
"Paschimpuri, Paschim Vihar",1 bhk,378,1,32,Delhi,1
"DDA Lig Flats, Paschim Vihar",3 bhk,800,2,63,Delhi,3
"Pushkar Enclave, Paschim Vihar",3 bhk,1350,3,150,Delhi,3
"Paschim Vihar carpet area 850 sqft status Ready to Move floor 2 out of 4 floors transaction Resale furnishing Unfurnished facing North overlooking Garden/Park bathroom 3 balcony 1 ownership Freehold If you want to live a contended, pollution-free and peaceful life with your family and children, here is the once in a lifetime opportunity awaiting your attention!! Presenting a 3BHK ready to move flat up for sale in Paschim Vihar, which is becoming a dream residential area for its ability to provide a slice of authentic New Delhi city life. Property SpecificationsWell-knitted and planned on the super area of 900 sq ft is this 2bhk flat where the owner enjoys the complete rights of the freehold ownership. In a low-rise building of four-floors, this impressive infrastructure is positioned on the second floor, hence the residents can experience the greatest possible cross ventilation and natural sunlight.Though the age of construction is between 15-20 years, this north-facing flat is perfectly maintained and features 3 spacious bedrooms, 2 bathrooms, 2 airy balconies, a dining room, a living room, and a kitchen. All the bedrooms are adorned with decorative wardrobes offered with enough space for storage of clothes and other valuables.The attached toilet is designed in Indian fashion which is mounted-up with a geyser where you can enjoy a hot water bath, while the bathroom available for common use fashioned in the western genre.Further, an eye-catching view of the lush green garden is visible from the two well-aligned balconies where you can enjoy a hot cup of tea, where one balcony is connected to the bedroom, while the other balcony opens to the lobby. Bedecked with a granite countertop, a piped gas connection, and a chimney, the contemporarily designed modular kitchen is also provided with a wash area and also sufficient space for fridge.The entire flat is polished up with the good quality tiles which are easy to install and can be quite pleasant and comfortable underfoot.FacilitiesKeeping in mind the convenience of the residents, some of the basic facilities such as an unrestricted supply of water, and power backup with invertor. Additionally, one open parking space for 1 vehicle read more Contact Owner Share Feedback Owner Yogeet",3 bhk,850,3,57,Delhi,3
"Shubh Niketan, Paschim Vihar",3 bhk,1580,2,210,Delhi,3
Paschim Vihar,2 bhk,820,3,75,Delhi,2
"Ashoka Apartment, Paschim Vihar Block A2",2 bhk,594,1,65,Delhi,2
Paschim Vihar Block B4,3 bhk,14220,3,275,Delhi,3
"Guru Harikishan Nagar, Paschim Vihar",3 bhk,800,2,120,Delhi,3
"Sunder Apartments, Sunder Vihar, Paschim Vihar",3 bhk,1500,2,180,Delhi,3
"Ashirwad Apartments, Dwarka",3 bhk,1600,3,156,Delhi,3
"Rajasthan Apartment, Aashirwaad Chowk, Dwarka",3 bhk,1650,3,155,Delhi,3
"Rajasthan Apartment, Aashirwaad Chowk, Dwarka",3 bhk,1600,3,152,Delhi,3
"Gold Croft Apartment, Aashirwaad Chowk, Dwarka",3 bhk,1900,3,250,Delhi,3
"Chanakya Apartments, Aashirwaad Chowk, Dwarka",3 bhk,1400,2,150,Delhi,3
